id,answer
sentence_1,A
sentence_2,A
sentence_3,A
sentence_4,A
sentence_5,A
sentence_6,A
sentence_7,A
sentence_8,A
sentence_9,A
sentence_10,A
sentence_11,A
sentence_12,A
sentence_13,A
sentence_14,A
sentence_15,A
sentence_16,A
sentence_17,A
sentence_18,A
sentence_19,A
sentence_20,A
sentence_21,A
sentence_22,A
sentence_23,A
sentence_24,A
sentence_25,A
sentence_26,A
sentence_27,A
sentence_28,A
sentence_29,A
sentence_30,A
sentence_31,A
sentence_32,A
sentence_33,A
sentence_34,A
sentence_35,A
sentence_36,A
sentence_37,A
sentence_38,A
sentence_39,A
sentence_40,A
sentence_41,A
sentence_42,A
sentence_43,A
sentence_44,A
sentence_45,A
sentence_46,A
sentence_47,A
sentence_48,A
sentence_49,A
sentence_50,A
sentence_51,A
sentence_52,A
sentence_53,A
sentence_54,A
sentence_55,A
sentence_56,A
sentence_57,A
sentence_58,A
sentence_59,A
sentence_60,A
sentence_61,A
sentence_62,A
sentence_63,A
sentence_64,A
sentence_65,A
sentence_66,A
sentence_67,A
sentence_68,A
sentence_69,A
sentence_70,A
sentence_71,A
sentence_72,A
sentence_73,A
sentence_74,A
sentence_75,A
sentence_76,A
sentence_77,A
sentence_78,A
sentence_79,A
sentence_80,A
sentence_81,A
sentence_82,A
sentence_83,A
sentence_84,A
sentence_85,A
sentence_86,A
sentence_87,A
sentence_88,A
sentence_89,A
sentence_90,A
sentence_91,A
sentence_92,A
sentence_93,A
sentence_94,A
sentence_95,A
sentence_96,A
sentence_97,A
sentence_98,A
sentence_99,A
sentence_100,A
sentence_101,A
sentence_102,A
sentence_103,A
sentence_104,A
sentence_105,A
sentence_106,A
sentence_107,A
sentence_108,A
sentence_109,A
sentence_110,A
sentence_111,A
sentence_112,A
sentence_113,A
sentence_114,A
sentence_115,A
sentence_116,A
sentence_117,A
sentence_118,A
sentence_119,A
sentence_120,A
sentence_121,A
sentence_122,A
sentence_123,A
sentence_124,A
sentence_125,A
sentence_126,A
sentence_127,A
sentence_128,A
sentence_129,A
sentence_130,A
sentence_131,A
sentence_132,A
sentence_133,A
sentence_134,A
sentence_135,A
sentence_136,A
sentence_137,A
sentence_138,A
sentence_139,A
sentence_140,A
sentence_141,A
sentence_142,A
sentence_143,A
sentence_144,A
sentence_145,A
sentence_146,A
sentence_147,A
sentence_148,A
sentence_149,A
sentence_150,A
sentence_151,A
sentence_152,A
sentence_153,A
sentence_154,A
sentence_155,A
sentence_156,A
sentence_157,A
sentence_158,A
sentence_159,A
sentence_160,A
sentence_161,A
sentence_162,A
sentence_163,A
sentence_164,A
sentence_165,A
sentence_166,A
sentence_167,A
sentence_168,A
sentence_169,A
sentence_170,A
sentence_171,A
sentence_172,A
sentence_173,A
sentence_174,A
sentence_175,A
sentence_176,A
sentence_177,A
sentence_178,A
sentence_179,A
sentence_180,A
sentence_181,A
sentence_182,A
sentence_183,A
sentence_184,A
sentence_185,A
sentence_186,A
sentence_187,A
sentence_188,A
sentence_189,A
sentence_190,A
sentence_191,A
sentence_192,A
sentence_193,A
sentence_194,A
sentence_195,A
sentence_196,A
sentence_197,A
sentence_198,A
sentence_199,A
sentence_200,A
sentence_201,A
sentence_202,A
sentence_203,A
sentence_204,A
sentence_205,A
sentence_206,A
sentence_207,A
sentence_208,A
sentence_209,A
sentence_210,A
sentence_211,A
sentence_212,A
sentence_213,A
sentence_214,A
sentence_215,A
sentence_216,A
sentence_217,A
sentence_218,A
sentence_219,A
sentence_220,A
sentence_221,A
sentence_222,A
sentence_223,A
sentence_224,A
sentence_225,A
sentence_226,A
sentence_227,A
sentence_228,A
sentence_229,A
sentence_230,A
sentence_231,A
sentence_232,A
sentence_233,A
sentence_234,A
sentence_235,A
sentence_236,A
sentence_237,A
sentence_238,A
sentence_239,A
sentence_240,A
sentence_241,A
sentence_242,A
sentence_243,A
sentence_244,A
sentence_245,A
sentence_246,A
sentence_247,A
sentence_248,A
sentence_249,A
sentence_250,A
sentence_251,A
sentence_252,A
sentence_253,A
sentence_254,A
sentence_255,A
sentence_256,A
sentence_257,A
sentence_258,A
sentence_259,A
sentence_260,A
sentence_261,A
sentence_262,A
sentence_263,A
sentence_264,A
sentence_265,A
sentence_266,A
sentence_267,A
sentence_268,A
sentence_269,A
sentence_270,A
sentence_271,A
sentence_272,A
sentence_273,A
sentence_274,A
sentence_275,A
sentence_276,A
sentence_277,A
sentence_278,A
sentence_279,A
sentence_280,A
sentence_281,A
sentence_282,A
sentence_283,A
sentence_284,A
sentence_285,A
sentence_286,A
sentence_287,A
sentence_288,A
sentence_289,A
sentence_290,A
sentence_291,A
sentence_292,A
sentence_293,A
sentence_294,A
sentence_295,A
sentence_296,A
sentence_297,A
sentence_298,A
sentence_299,A
sentence_300,A
sentence_301,A
sentence_302,A
sentence_303,A
sentence_304,A
sentence_305,A
sentence_306,A
sentence_307,A
sentence_308,A
sentence_309,A
sentence_310,A
sentence_311,A
sentence_312,A
sentence_313,A
sentence_314,A
sentence_315,A
sentence_316,A
sentence_317,A
sentence_318,A
sentence_319,A
sentence_320,A
sentence_321,A
sentence_322,A
sentence_323,A
sentence_324,A
sentence_325,A
sentence_326,A
sentence_327,A
sentence_328,A
sentence_329,A
sentence_330,A
sentence_331,A
sentence_332,A
sentence_333,A
sentence_334,A
sentence_335,A
sentence_336,A
sentence_337,A
sentence_338,A
sentence_339,A
sentence_340,A
sentence_341,A
sentence_342,A
sentence_343,A
sentence_344,A
sentence_345,A
sentence_346,A
sentence_347,A
sentence_348,A
sentence_349,A
sentence_350,A
sentence_351,A
sentence_352,A
sentence_353,A
sentence_354,A
sentence_355,A
sentence_356,A
sentence_357,A
sentence_358,A
sentence_359,A
sentence_360,A
sentence_361,A
sentence_362,A
sentence_363,A
sentence_364,A
sentence_365,A
sentence_366,A
sentence_367,A
sentence_368,A
sentence_369,A
sentence_370,A
sentence_371,A
sentence_372,A
sentence_373,A
sentence_374,A
sentence_375,A
sentence_376,A
sentence_377,A
sentence_378,A
sentence_379,A
sentence_380,A
sentence_381,A
sentence_382,A
sentence_383,A
sentence_384,A
sentence_385,A
sentence_386,A
sentence_387,A
sentence_388,A
sentence_389,A
sentence_390,A
sentence_391,A
sentence_392,A
sentence_393,A
sentence_394,A
sentence_395,A
sentence_396,A
sentence_397,A
sentence_398,A
sentence_399,A
sentence_400,A
sentence_401,A
sentence_402,A
sentence_403,A
sentence_404,A
sentence_405,A
sentence_406,A
sentence_407,A
sentence_408,A
sentence_409,A
sentence_410,A
sentence_411,A
sentence_412,A
sentence_413,A
sentence_414,A
sentence_415,A
sentence_416,A
sentence_417,A
sentence_418,A
sentence_419,A
sentence_420,A
sentence_421,A
sentence_422,A
sentence_423,A
sentence_424,A
sentence_425,A
sentence_426,A
sentence_427,A
sentence_428,A
sentence_429,A
sentence_430,A
sentence_431,A
sentence_432,A
sentence_433,A
sentence_434,A
sentence_435,A
sentence_436,A
sentence_437,A
sentence_438,A
sentence_439,A
sentence_440,A
sentence_441,A
sentence_442,A
sentence_443,A
sentence_444,A
sentence_445,A
sentence_446,A
sentence_447,A
sentence_448,A
sentence_449,A
sentence_450,A
sentence_451,A
sentence_452,A
sentence_453,A
sentence_454,A
sentence_455,A
sentence_456,A
sentence_457,A
sentence_458,A
sentence_459,A
sentence_460,A
sentence_461,A
sentence_462,A
sentence_463,A
sentence_464,A
sentence_465,A
sentence_466,A
sentence_467,A
sentence_468,A
sentence_469,A
sentence_470,A
sentence_471,A
sentence_472,A
sentence_473,A
sentence_474,A
sentence_475,A
sentence_476,A
sentence_477,A
sentence_478,A
sentence_479,A
sentence_480,A
sentence_481,A
sentence_482,A
sentence_483,A
sentence_484,A
sentence_485,A
sentence_486,A
sentence_487,A
sentence_488,A
sentence_489,A
sentence_490,A
sentence_491,A
sentence_492,A
sentence_493,A
sentence_494,A
sentence_495,A
sentence_496,A
sentence_497,A
sentence_498,A
sentence_499,A
sentence_500,A
sentence_501,A
sentence_502,A
sentence_503,A
sentence_504,A
sentence_505,A
sentence_506,A
sentence_507,A
sentence_508,A
sentence_509,A
sentence_510,A
sentence_511,A
sentence_512,A
sentence_513,A
sentence_514,A
sentence_515,A
sentence_516,A
sentence_517,A
sentence_518,A
sentence_519,A
sentence_520,A
sentence_521,A
sentence_522,A
sentence_523,A
sentence_524,A
sentence_525,A
sentence_526,A
sentence_527,A
sentence_528,A
sentence_529,A
sentence_530,A
sentence_531,A
sentence_532,A
sentence_533,A
sentence_534,A
sentence_535,A
sentence_536,A
sentence_537,A
sentence_538,A
sentence_539,A
sentence_540,A
sentence_541,A
sentence_542,A
sentence_543,A
sentence_544,A
sentence_545,A
sentence_546,A
sentence_547,A
sentence_548,A
sentence_549,A
sentence_550,A
sentence_551,A
sentence_552,A
sentence_553,A
sentence_554,A
sentence_555,A
sentence_556,A
sentence_557,A
sentence_558,A
sentence_559,A
sentence_560,A
sentence_561,A
sentence_562,A
sentence_563,A
sentence_564,A
sentence_565,A
sentence_566,A
sentence_567,A
sentence_568,A
sentence_569,A
sentence_570,A
sentence_571,A
sentence_572,A
sentence_573,A
sentence_574,A
sentence_575,A
sentence_576,A
sentence_577,A
sentence_578,A
sentence_579,A
sentence_580,A
sentence_581,A
sentence_582,A
sentence_583,A
sentence_584,A
sentence_585,A
sentence_586,A
sentence_587,A
sentence_588,A
sentence_589,A
sentence_590,A
sentence_591,A
sentence_592,A
