id,FalseSent,OptionA,OptionB,OptionC
sentence_1,I sting a mosquito,A human is a mammal,A human is omnivorous,A human has not stings
sentence_2,A giraffe is a person.,Giraffes can drink water from a lake.,A giraffe is not a human being.,.Giraffes usually eat leaves.
sentence_3,A normal closet is larger than a walk-in closet.,Walk-in closets are normal closets.,A person can sleep in a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.
sentence_4,I like to ride my chocolate,Chocolate is delicious and bikes are not,"Chocolate is a food, not a transportation unit",My bike can't ride a chocolate
sentence_5,A GIRL WON THE RACE WITH HORSE,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,HORSE RAN FASTER THAN HER
sentence_6,he put elephant into the jug,elephants is an animal and jug is a thing,a jug is so small than an elephant,jug is used for store things
sentence_7,A dog plays volleyball,Only humans play volleyball,Dogs are not wild animals,Humans trust dogs
sentence_8,Eggs eat kis on Easter.,Easter has a lot of eggs.,No egg eat kids.,Eggs are made for easter.
sentence_9,An employee can price goods,An owner serve foods to employees,Owners always stand and sell goods,Only owner could price the goods
sentence_10,she wear hat in the hand,hat usually black in colour and bangles are in different colours,hat usually wear on the head,hat will be big in size
sentence_11,Roses buds  eat caterpillars,Rose buds are edible while caterpillars aren't,Rose buds bloom and caterpillars crawl,Caterpillars have mouths while rose buds don't
sentence_12,the computer broke down and the doctor fixed it,the technician heals people and the doctor heals machines,the technician is a doctor's friend and fixes the computer,a doctor does not fix computers
sentence_13,I drank bleach.,Bleach is a denser liquid than water.,Bleach is used for cleaning.,Bleach is not stored in the kitchen.
sentence_14,I usually wear a shoe on my head,Cap looks good on the head,Shoe can be worn in feet only,We wear different things on the head
sentence_15,My brother placed the nuclear reactor inside the box.,Nuclear reactor can be contained in a container.,Nuclear reactor is contained in a place.,Nuclear reactor is way too big to be placed in a box.
sentence_16,She took the chair for a walk,Chairs can't walk,Chairs can only go for runs,A chair is red
sentence_17,He mowed the carpet,grass is usually green while carpets are usually not,"lawnmowers are for cutting grass, not carpets",carpet is too short to mow
sentence_18,I dress an elephant,An elephant is a wild animal,An elephant is grey,An elephant has a proboscis
sentence_19,I cook football very well,A football is thing to play with not a thing to eat,A football kept on the table looks good,A football and a watermelon is almost equal in size
sentence_20,Car is a very good mode of water transport,A car and a boat is a good mode of transport,Car is a mode of land of transport,I either use a boat and a car to travel
sentence_21,a dog is taken to a pool after getting sick,the dogs get sick and the pools clean,a pool has no medical attention for animals,a dog cannot spread a pool
sentence_22,She rode her bike to the moon.,Her bike is not the same color as the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",She did not have permission from her parents to ride her bike that far away from home.
sentence_23,A boy shuts down,A boy is full of energy,A boy is a male,"A boy can fall asleep, but a boy cannot shut down"
sentence_24,I play games on my Gas stove,Gas stove a very important equipment used in the house,Gas stove is frequently used in the house,Gas stove is equipment to cook food
sentence_25,Stars read me,Stars has not eyes,Stars are too big,Stars are too far
sentence_26,A boy turns off the door,A door cannot turn off a light,A door can be closed but a door cannot be turned off,A light cannot close the door
