id,answer
sentence_1,C
sentence_2,B
sentence_3,C
sentence_4,B
sentence_5,C
sentence_6,B
sentence_7,A
sentence_8,B
sentence_9,C
sentence_10,B
sentence_11,C
sentence_12,C
sentence_13,B
sentence_14,B
sentence_15,C
sentence_16,A
sentence_17,B
sentence_18,A
sentence_19,A
sentence_20,B
sentence_21,B
sentence_22,B
sentence_23,C
sentence_24,C
sentence_25,A
sentence_26,B
sentence_27,A
sentence_28,C
sentence_29,B
sentence_30,C
sentence_31,C
sentence_32,A
sentence_33,C
sentence_34,C
sentence_35,C
sentence_36,A
sentence_37,A
sentence_38,B
sentence_39,A
sentence_40,B
sentence_41,C
sentence_42,B
sentence_43,C
sentence_44,C
sentence_45,B
sentence_46,B
sentence_47,A
sentence_48,A
sentence_49,C
sentence_50,B
sentence_51,A
sentence_52,B
sentence_53,C
sentence_54,B
sentence_55,A
sentence_56,A
sentence_57,C
sentence_58,B
sentence_59,A
sentence_60,B
sentence_61,B
sentence_62,C
sentence_63,A
sentence_64,B
sentence_65,B
sentence_66,B
sentence_67,A
sentence_68,A
sentence_69,A
sentence_70,C
sentence_71,C
sentence_72,C
sentence_73,A
sentence_74,C
sentence_75,B
sentence_76,B
sentence_77,C
sentence_78,A
sentence_79,A
sentence_80,A
sentence_81,A
sentence_82,B
sentence_83,A
sentence_84,A
sentence_85,C
sentence_86,C
sentence_87,A
sentence_88,A
sentence_89,A
sentence_90,C
sentence_91,B
sentence_92,A
sentence_93,C
sentence_94,A
sentence_95,C
sentence_96,B
sentence_97,C
sentence_98,C
sentence_99,A
sentence_100,A
sentence_101,B
sentence_102,C
sentence_103,C
sentence_104,B
sentence_105,A
sentence_106,B
sentence_107,C
sentence_108,B
sentence_109,A
sentence_110,C
sentence_111,C
sentence_112,B
sentence_113,C
sentence_114,A
sentence_115,C
sentence_116,A
sentence_117,C
sentence_118,B
sentence_119,A
sentence_120,B
sentence_121,C
sentence_122,B
sentence_123,A
sentence_124,C
sentence_125,A
sentence_126,C
sentence_127,B
sentence_128,A
sentence_129,A
sentence_130,B
sentence_131,B
sentence_132,A
sentence_133,C
sentence_134,B
sentence_135,C
sentence_136,B
sentence_137,B
sentence_138,C
sentence_139,B
sentence_140,C
sentence_141,C
sentence_142,B
sentence_143,B
sentence_144,B
sentence_145,C
sentence_146,A
sentence_147,B
sentence_148,B
sentence_149,A
sentence_150,B
sentence_151,A
sentence_152,C
sentence_153,C
sentence_154,A
sentence_155,C
sentence_156,C
sentence_157,A
sentence_158,A
sentence_159,A
sentence_160,B
sentence_161,C
sentence_162,C
sentence_163,A
sentence_164,A
sentence_165,C
sentence_166,C
sentence_167,B
sentence_168,A
sentence_169,C
sentence_170,A
sentence_171,B
sentence_172,B
sentence_173,A
sentence_174,B
sentence_175,B
sentence_176,A
sentence_177,B
sentence_178,B
sentence_179,A
sentence_180,A
sentence_181,C
sentence_182,B
sentence_183,B
sentence_184,C
sentence_185,B
sentence_186,B
sentence_187,A
sentence_188,B
sentence_189,B
sentence_190,C
sentence_191,A
sentence_192,B
sentence_193,A
sentence_194,A
sentence_195,C
sentence_196,C
sentence_197,C
sentence_198,C
sentence_199,B
sentence_200,B
sentence_201,C
sentence_202,A
sentence_203,C
sentence_204,A
sentence_205,C
sentence_206,B
sentence_207,C
sentence_208,C
sentence_209,A
sentence_210,A
sentence_211,C
sentence_212,C
sentence_213,C
sentence_214,A
sentence_215,A
sentence_216,A
sentence_217,A
sentence_218,A
sentence_219,A
sentence_220,B
sentence_221,A
sentence_222,C
sentence_223,A
sentence_224,A
sentence_225,A
sentence_226,C
sentence_227,A
sentence_228,C
sentence_229,A
sentence_230,A
sentence_231,A
sentence_232,C
sentence_233,B
sentence_234,C
sentence_235,B
sentence_236,C
sentence_237,C
sentence_238,B
sentence_239,C
sentence_240,A
sentence_241,C
sentence_242,A
sentence_243,A
sentence_244,C
sentence_245,B
sentence_246,B
sentence_247,C
sentence_248,C
sentence_249,C
sentence_250,C
sentence_251,C
sentence_252,B
sentence_253,C
sentence_254,B
sentence_255,C
sentence_256,B
sentence_257,C
sentence_258,B
sentence_259,A
sentence_260,C
sentence_261,A
sentence_262,B
sentence_263,C
sentence_264,C
sentence_265,B
sentence_266,C
sentence_267,A
sentence_268,A
sentence_269,A
sentence_270,B
sentence_271,B
sentence_272,B
sentence_273,B
sentence_274,B
sentence_275,B
sentence_276,A
sentence_277,B
sentence_278,C
sentence_279,C
sentence_280,A
sentence_281,A
sentence_282,B
sentence_283,C
sentence_284,A
sentence_285,B
sentence_286,C
sentence_287,C
sentence_288,A
sentence_289,C
sentence_290,A
sentence_291,C
sentence_292,C
sentence_293,C
sentence_294,A
sentence_295,C
sentence_296,A
sentence_297,A
sentence_298,A
sentence_299,C
sentence_300,C
sentence_301,C
sentence_302,B
sentence_303,A
sentence_304,B
sentence_305,A
sentence_306,B
sentence_307,B
sentence_308,C
sentence_309,B
sentence_310,A
sentence_311,C
sentence_312,B
sentence_313,B
sentence_314,A
sentence_315,A
sentence_316,A
sentence_317,A
sentence_318,A
sentence_319,B
sentence_320,C
sentence_321,C
sentence_322,C
sentence_323,A
sentence_324,B
sentence_325,A
sentence_326,A
sentence_327,B
sentence_328,B
sentence_329,B
sentence_330,C
sentence_331,C
sentence_332,C
sentence_333,A
sentence_334,C
sentence_335,C
sentence_336,C
sentence_337,B
sentence_338,A
sentence_339,C
sentence_340,A
sentence_341,B
sentence_342,A
sentence_343,C
sentence_344,B
sentence_345,B
sentence_346,C
sentence_347,A
sentence_348,A
sentence_349,A
sentence_350,B
sentence_351,B
sentence_352,A
sentence_353,B
sentence_354,B
sentence_355,C
sentence_356,B
sentence_357,A
sentence_358,C
sentence_359,B
sentence_360,A
sentence_361,B
sentence_362,C
sentence_363,B
sentence_364,C
sentence_365,A
sentence_366,A
sentence_367,B
sentence_368,B
sentence_369,C
sentence_370,A
sentence_371,A
sentence_372,B
sentence_373,A
sentence_374,C
sentence_375,B
sentence_376,C
sentence_377,C
sentence_378,A
sentence_379,B
sentence_380,C
sentence_381,B
sentence_382,B
sentence_383,A
sentence_384,B
sentence_385,B
sentence_386,A
sentence_387,A
sentence_388,C
sentence_389,C
sentence_390,C
sentence_391,B
sentence_392,A
sentence_393,B
sentence_394,C
sentence_395,A
sentence_396,B
sentence_397,C
sentence_398,C
sentence_399,C
sentence_400,B
sentence_401,C
sentence_402,C
sentence_403,A
sentence_404,C
sentence_405,A
sentence_406,A
sentence_407,A
sentence_408,A
sentence_409,A
sentence_410,C
sentence_411,B
sentence_412,C
sentence_413,C
sentence_414,B
sentence_415,A
sentence_416,B
sentence_417,C
sentence_418,C
sentence_419,A
sentence_420,A
sentence_421,B
sentence_422,B
sentence_423,A
